SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6127b0b24b6860a22461623b7a1d800698179093,0,46.593,0,0,0,3.508,2,0,0
74e61c1092562dd27f2c333a6f79d410f3c04497,0,2.543,0,0,0,2.707,2,0,0
4965aac58763898f6ba65f755c95aa227d22d698,0,2.543,0,0,0,2.715,2,0,0
4a99531d8065b64d9c7773a838d95436b08343cd,0,2.581,0,0,0,2.728,2,0,0
87bbd051b1ccbd0e7e7d2a490dd419babfc2e6f1,0,2.600,0,0,0,2.714,2,0,0
70e6fd61faa91bb8a61fa552e4e8f5fe10fbd9ad,0,2.555,0,0,0,2.691,2,0,0
c68e4f15820625e94a1c0903723f3c160b909d71,0,2.515,0,0,0,2.711,2,0,0
fa24e4adcfd4a22862c790208a17f6369a92eed2,0,2.516,0,0,0,2.673,2,0,0
95a16fc0c70ee4c04a2e813b871646894def3880,0,2.640,0,0,0,2.678,2,0,0
23f1fb2af44773c1c83c43904aab112ca3c47c2f,0,2.562,0,0,0,2.685,2,0,0
635f517ae744dcf15867fd5d1dd62fdf7b5d721d,0,2.521,0,0,0,2.721,2,0,0
442811b08e0dc21c996a09509880d0007424c2ac,0,2.489,0,0,0,2.701,2,0,0
198dc5aaeda106b84b20e16108a14a790bfefa56,0,2.539,0,0,0,2.698,2,0,0
f5600ac52204aae29d1434d98d93484b61b4cdd6,0,2.501,0,0,0,2.686,2,0,0
6fc5bb3aab7949d2283cec25f9b25b8c974f10cb,0,2.529,0,0,0,2.665,2,0,0
9cbd583e3179237059e3289ec52c5f47be527ac7,0,2.502,0,0,0,2.692,2,0,0
e370cbd739e66f141f99cc2d8234bbdb0f0b36ec,0,2.559,0,0,0,2.732,2,0,0
8d6e9919a351c2e66876eb404df6ec6c5b324773,0,2.528,0,0,0,2.688,2,0,0
be0dcfd257ccfec37889225125f20d9b361a7f98,0,2.514,0,0,0,2.758,2,0,0
3fd7ccc779106cb86368e36665932f9bc01ee691,0,2.545,0,0,0,2.697,2,0,0
sum,0,94.875,0,0,0,54.848,40,0,0
arith_mean,0,4.74,0,0,0,2.74,2.00,0,0
geo_mean,0,2.94,0,0,0,2.74,2.00,0,0
