SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6127b0b24b6860a22461623b7a1d800698179093,160,52.080,53,53,0,3.508,0,0,0
74e61c1092562dd27f2c333a6f79d410f3c04497,61,7.376,53,42,0,2.707,0,0,0
4965aac58763898f6ba65f755c95aa227d22d698,0,5.296,53,0,0,2.715,0,0,0
4a99531d8065b64d9c7773a838d95436b08343cd,0,5.317,53,0,0,2.728,0,0,0
87bbd051b1ccbd0e7e7d2a490dd419babfc2e6f1,61,7.358,53,42,0,2.714,0,0,0
70e6fd61faa91bb8a61fa552e4e8f5fe10fbd9ad,61,7.407,54,43,0,2.691,0,0,0
c68e4f15820625e94a1c0903723f3c160b909d71,61,7.247,54,43,0,2.711,0,0,0
fa24e4adcfd4a22862c790208a17f6369a92eed2,61,7.394,54,43,0,2.673,0,0,0
95a16fc0c70ee4c04a2e813b871646894def3880,61,7.447,54,43,0,2.678,0,0,0
23f1fb2af44773c1c83c43904aab112ca3c47c2f,61,7.364,54,43,0,2.685,0,0,0
635f517ae744dcf15867fd5d1dd62fdf7b5d721d,61,7.370,54,43,0,2.721,0,0,0
442811b08e0dc21c996a09509880d0007424c2ac,61,7.505,54,43,0,2.701,0,0,0
198dc5aaeda106b84b20e16108a14a790bfefa56,61,7.304,54,43,0,2.698,0,0,0
f5600ac52204aae29d1434d98d93484b61b4cdd6,160,6.518,54,43,0,2.686,0,0,0
6fc5bb3aab7949d2283cec25f9b25b8c974f10cb,61,7.320,54,43,0,2.665,0,0,0
9cbd583e3179237059e3289ec52c5f47be527ac7,160,6.668,54,43,0,2.692,0,0,0
e370cbd739e66f141f99cc2d8234bbdb0f0b36ec,61,7.391,54,43,0,2.732,0,0,0
8d6e9919a351c2e66876eb404df6ec6c5b324773,0,5.327,54,0,0,2.688,0,0,0
be0dcfd257ccfec37889225125f20d9b361a7f98,160,6.448,54,19,0,2.758,0,0,0
3fd7ccc779106cb86368e36665932f9bc01ee691,0,5.231,53,0,0,2.697,0,0,0
sum,1372,181.368,1074,672,0,54.848,0,0,0
arith_mean,85.75,9.07,53.70,42.00,0,2.74,0,0,0
geo_mean,77.63,7.47,53.70,41.28,0,2.74,0,0,0
