SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c15ac3bc52c1012d5840dfe978dc7aff3cc8c715,160,37.576,0,8,48,2.432,2,0,0
123abd4a9d51219ed9cb737e215a085090a1c71f,0,4.269,0,1,1,1.969,0,0,0
691eca3cb969f73516ae147dfb4843bdab27c862,32,38.060,0,15,53,1.948,2,0,0
cbf359809c1dd4632fdb8bea44b754ce22b078b0,15,24.767,0,4,9,1.957,2,0,0
dd86998ad47d4a4994bec0e5515c38111fded3c8,160,40.896,0,6,15,2.004,5,0,0
b0d9cf8b6702c9ffc40dfffb65473b7534c21933,0,4.584,0,5,15,1.998,0,0,0
fa59cb6f7912fa61574a249a0c1da4942e31ae12,0,4.421,0,4,12,1.973,0,0,0
8f51ba028b59923c557c025f25d0f217baa6c08b,0,4.523,0,4,12,2.004,0,0,0
e80bf4132dabe4b36a420723b2ca06d8a87a3602,160,46.331,0,4,9,2.057,5,0,0
9d250e719c7a55f7ac482060bce018b9f89513c9,15,28.557,0,5,14,2.048,4,0,0
f0978e9dc2a3d70e0577285adfb8f24a1ba99a3c,15,27.437,0,4,9,2.062,4,0,0
d9b08d36d3d8495a3f28f623f3c669175d26dcdb,0,4.383,0,2,7,2.031,0,0,0
3554cf68751d09d41ff5e8d01b50dec720fa89d7,160,50.756,0,8,26,2.033,3,0,0
da5ac54c5d203b08e243fb9d5c0707cf44c05231,0,4.344,0,4,11,2.053,0,0,0
dcc00dc77d35cca48397ec1283c0b16895b1732f,17,30.677,0,11,33,2.085,2,0,0
e75d9fd017fc0afe81788de83b27d38fdbb62de6,160,45.145,0,4,12,2.133,3,0,0
e4bc6a4e1805c3c9549a7b74b0111482a7b216fa,0,4.515,0,3,7,2.179,0,0,0
10e00b065812c6e3ca0cf5628dfbd01751dea62c,0,4.671,0,8,20,2.143,0,0,0
f2f7cbb681140ac27c9981c97c8a2dd054ba5d88,15,26.423,0,4,9,2.162,2,0,0
3ae07cbb3d7b36ca3a57db95b71366c916c75693,32,43.526,0,36,121,2.173,9,0,0
sum,941,475.861,0,140,443,41.444,43,0,0
arith_mean,78.42,23.79,0,7.00,22.15,2.07,3.58,0,0
geo_mean,46.11,15.53,0,5.16,14.14,2.07,3.17,0,0
