SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96ae7de82b882c3885c7df0c398795195a381b32,0,43.646,0,0,0,2.996,12,0,0
a1349f23e6f97056bfcabf0b7fcb365c0d1aafad,0,40.659,0,0,0,2.563,0,0,0
60dad5b5225f880bc0c3cf5ae6940bc5fcc8668f,0,40.820,0,0,0,2.575,0,0,0
6eee6741ec6d6ea2a43b8a3d892975719b0b4a60,0,40.939,0,0,0,2.543,1,0,0
99530abdfcf684d207948b9b382293734c581f67,0,40.788,0,0,0,2.563,0,0,0
ca5e99f797dcfee369785cbfd34b656d2ae68b77,0,40.897,0,0,0,2.585,0,0,0
64bc130646a480c8b16e60cb97dc5c1193b15456,0,40.817,0,0,0,2.561,0,0,0
dc871b5092670e6e8a992e1c564c0ac8df12a48f,0,41.020,0,0,0,2.582,0,0,0
80830d148945ea9dfb111ffcc35bf403be006485,0,41.418,0,0,0,2.602,0,0,0
cf6a21f36d5522d7476434e0e7161aebe60198c1,0,41.283,0,0,0,2.587,0,0,0
31ad2a607c60e8c8ed3f9d50f6c7467437f58b3d,0,40.894,0,0,0,2.620,0,0,0
4d18525fe40ef4b90062aa1dbc2cdfe9de0fe6c8,0,42.533,0,0,0,2.645,0,0,0
cb69c8fbebef25b9b1e6ee6ea50f77684d88eda7,0,42.238,0,0,0,2.686,1,0,0
1a5626b1580541cf8885ec46cd90257b0004548d,0,54.551,0,0,0,2.892,3,0,0
fac0b719d8037eab3a464924101d042fe272cd16,0,54.374,0,0,0,2.869,0,0,0
3c6f6a87c754acb3fd9c4680bc5591aefd6c8561,0,53.750,0,0,0,2.927,0,0,0
7494d4a308eaef805df180192bbfd69dd6c31414,0,53.955,0,0,0,2.884,0,0,0
9a8a5ce8d45a86a09c6f44453c366dbc96c15cbd,0,53.830,0,0,0,2.906,0,0,0
9a63a46afb7636e0f12b59ecc5c78f65d43d73bf,0,53.657,0,0,0,2.906,0,0,0
3c31612648a9ca6f7cc999d15e0090e73b6455fe,0,53.842,0,0,0,2.915,0,0,0
sum,0,915.911,0,0,0,54.407,17,0,0
arith_mean,0,45.80,0,0,0,2.72,4.25,0,0
geo_mean,0,45.41,0,0,0,2.72,2.45,0,0
