SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9b15b2008bd9dc654127629d40009899a4104e67,0,78.644,0,0,0,4.574,5,0,0
a345812f8fe6e80b8626b44eeb9f960842737bb6,0,76.144,0,0,0,3.977,5,0,0
bae558d829400e0fee781cf60de295841afcf68b,0,49.108,0,0,0,4.770,0,0,0
989cea121f33b6a4e35d99a0fdd3f8d599abff0c,0,76.735,0,0,0,4.007,5,0,0
9f8fe5b1bfed58169a01c6f2d8648f77b8743b89,0,4.923,0,0,0,3.921,0,0,0
3c2e5880e592b327c179c59efb269bbfbfe2d52f,0,4.571,0,0,0,4.126,0,0,0
6756fd62dd70a8eaa6f53527a96a87f3ec54c765,0,4.588,0,0,0,4.085,0,0,0
eafa46e2f5e53791f6dbaa1acab007b2394909aa,0,4.389,0,0,0,4.098,0,0,0
15cc3d301ac848eddc1dfbb6df9745d61c2f76f5,0,2.723,0,0,0,3.945,0,0,0
0be34d87125f0e5a14feb6dd27cd1d9ecca0ad51,0,3.577,0,0,0,4.029,0,0,0
c76b75f68c5f90e8d82198130877042d4ff388e3,0,4.631,0,0,0,3.951,0,0,0
1c33a71c86d499bbc0381552763c759ef22134c8,0,4.784,0,0,0,3.989,0,0,0
63b64ba9d1a7d0e0a5fcbd3259335e364a84d441,0,4.779,0,0,0,4.044,0,0,0
8dc4eec3bc4dd7fe3eb698c5cae8e204317d3e67,0,4.548,0,0,0,3.962,0,0,0
c78e510a6d557740eb1c692bf385dbc71bf6dd09,0,4.749,0,0,0,3.962,0,0,0
9c0b8ad67142f44e7dcc84583c8182e20351d992,0,4.834,0,0,0,3.945,0,0,0
b68a9cf2a9662d8243498a0c8131fbad5102014b,0,3.321,0,0,0,3.924,0,0,0
3389583fd6c1960c48f3e384067617659a255bed,0,4.463,0,0,0,4.064,0,0,0
0faec47ffceada0c9909fb28e794366f752d5fe5,0,3.282,0,0,0,4.028,0,0,0
sum,0,344.793,0,0,0,77.401,15,0,0
arith_mean,0,18.15,0,0,0,4.07,5.00,0,0
geo_mean,0,7.59,0,0,0,4.07,5.00,0,0
