SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96ae7de82b882c3885c7df0c398795195a381b32,160,39.575,0,25,181,2.996,12,0,0
a1349f23e6f97056bfcabf0b7fcb365c0d1aafad,33,6.011,0,8,57,2.563,8,0,0
60dad5b5225f880bc0c3cf5ae6940bc5fcc8668f,34,6.035,0,9,61,2.575,8,0,0
6eee6741ec6d6ea2a43b8a3d892975719b0b4a60,160,38.975,0,7,48,2.543,12,0,0
99530abdfcf684d207948b9b382293734c581f67,33,6.231,0,11,99,2.563,8,0,0
ca5e99f797dcfee369785cbfd34b656d2ae68b77,40,5.890,0,8,54,2.585,0,0,0
64bc130646a480c8b16e60cb97dc5c1193b15456,40,5.745,0,6,39,2.561,0,0,0
dc871b5092670e6e8a992e1c564c0ac8df12a48f,36,5.969,0,7,50,2.582,3,0,0
80830d148945ea9dfb111ffcc35bf403be006485,32,5.538,0,1,3,2.602,0,0,0
cf6a21f36d5522d7476434e0e7161aebe60198c1,32,5.497,0,1,2,2.587,0,0,0
31ad2a607c60e8c8ed3f9d50f6c7467437f58b3d,37,6.157,0,8,70,2.620,8,0,0
4d18525fe40ef4b90062aa1dbc2cdfe9de0fe6c8,160,40.833,0,21,122,2.645,12,0,0
cb69c8fbebef25b9b1e6ee6ea50f77684d88eda7,160,39.763,0,17,89,2.686,12,0,0
1a5626b1580541cf8885ec46cd90257b0004548d,160,49.571,0,26,193,2.892,12,0,0
fac0b719d8037eab3a464924101d042fe272cd16,160,50.077,0,1,3,2.869,12,0,0
3c6f6a87c754acb3fd9c4680bc5591aefd6c8561,16,6.192,0,2,5,2.927,0,0,0
7494d4a308eaef805df180192bbfd69dd6c31414,41,6.920,0,19,131,2.884,8,0,0
9a8a5ce8d45a86a09c6f44453c366dbc96c15cbd,33,6.083,0,2,5,2.906,0,0,0
9a63a46afb7636e0f12b59ecc5c78f65d43d73bf,32,5.986,0,3,4,2.906,0,0,0
3c31612648a9ca6f7cc999d15e0090e73b6455fe,32,6.008,0,3,4,2.915,0,0,0
sum,1431,343.056,0,185,1220,54.407,115,0,0
arith_mean,71.55,17.15,0,9.25,61.00,2.72,9.58,0,0
geo_mean,52.95,10.84,0,5.87,27.04,2.72,9.03,0,0
