SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217db4c0b2f1791ca4f22ab8c1b01d476073e7d2,160,83.033,0,95,521,6.374,1,0,0
eaa19527f19574b8092c5f459c401307d693b21e,160,74.627,0,24,146,4.332,1,0,0
0c41c0bb1def5c9e0042d7d0ca91f511a661aaf8,44,39.583,0,53,334,4.416,1,0,0
4144dd7979d6ec6094277b0d24ee8d7b387b2f4b,160,70.640,0,54,351,5.053,1,0,0
be23c3112b0f5934b93039dc3617d85f5ec86ce6,41,40.891,0,44,392,4.320,1,0,0
66eeff41db4770c1a4d16e82634dc4b5050405d2,37,38.041,0,30,188,4.202,1,0,0
0feea3bf328a33f8f7c6947d7345f29e6fe2331d,37,37.327,0,30,188,4.588,1,0,0
97d082473ab4213047ef6883e6e2f57b7d54419f,37,37.324,0,30,188,4.243,1,0,0
ca9f3d013a624f6980daf2db01ffe852f046741d,41,41.746,0,45,427,4.175,1,0,0
bc7cd9e91a9bfaba0c91fc152ad65ee9063de7ce,37,36.725,0,33,213,4.242,1,0,0
63c56465264cb5d5a60e1cb2635ee1432fc46bd1,39,38.794,0,42,271,4.409,1,0,0
d50289d33b91e720643849ace60230ff23d5475b,37,37.081,0,39,260,4.534,1,0,0
d6cd0c7658c8ae67e42887b40eb53b82ff1171a9,41,40.141,0,48,312,4.282,1,0,0
ad827705db67eef6551c819bd9ea1b89eff672e0,42,41.269,0,48,316,4.527,1,0,0
80b49db935d9c982b8f35f017f2a4b1dda41d009,3,11.873,0,1,2,4.874,0,0,0
a1ff9fa55e36b9c7c12e04fed2149689a622d185,160,74.502,0,4,15,5.123,1,0,0
755ee2863d73b80261dcbbdbb74f2e9cd7d5da97,160,72.068,0,13,84,4.903,1,0,0
438aaeeae2128d9bf6f4e7db2236bb8d61f32f44,160,66.557,0,44,263,4.848,1,0,0
sum,1396,882.222,0,677,4471,83.445,17,0,0
arith_mean,77.56,49.01,-nan,37.61,248.39,4.64,1.00,-nan,-nan
geo_mean,54.39,45.04,-nan,27.82,166.55,4.61,1.00,-nan,-nan
