SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217e6001,160,100.203,0,55,302,10.542,4,0,0
3e69d214,3,13.776,0,18,43,9.960,0,0,0
7b78f286,23,18.053,0,15,37,10.154,0,0,0
0c9f308d,30,18.196,0,17,43,10.378,0,0,0
0af2a93d,16,13.736,0,17,27,9.932,0,0,0
e9fb3765,37,17.932,0,13,27,10.091,0,0,0
336c3606,40,18.312,0,15,32,10.003,0,0,0
b2359669,37,13.898,0,2,6,10.061,0,0,0
3c3cacae,31,17.305,0,11,22,10.022,0,0,0
f644d2aa,160,469.731,0,16,35,53.095,4,0,0
9bde2024,42,20.245,0,17,53,10.384,0,0,0
1e2f159b,21,17.709,0,10,29,10.469,0,0,0
0092942a,18,17.188,0,4,6,10.633,0,0,0
99c4d396,160,104.982,0,1,5,10.872,6,0,0
8f4fce7f,8,14.433,0,1,1,10.721,0,0,0
84d3184d,160,100.909,0,18,40,11.033,6,0,0
940d5723,160,106.350,0,14,42,11.216,6,0,0
7d262a11,0,5.355,0,0,0,10.751,0,0,0
sum,1106,1088.313,0,244,750,230.317,26,0,0
arith_mean,65.06,60.46,0,14.35,44.12,12.80,5.20,0,0
geo_mean,38.09,28.16,0,9.61,23.27,11.40,5.10,0,0
