SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
e62c4357c30998c53e58f57bf96af6d4161fefae,160,70.601,0,111,0,0,5,0,0
84889ddc96596abc9722bd7e49918ad183ab5264,0,14.727,0,48,0,0,0,0,0
acf94238558df6351df7518d6770eee3c9eb74b3,0,8.847,0,0,0,0,0,0,0
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,0,17.500,0,52,0,0,0,0,0
2a3d527692b84600b402e8374e2828178e6b6074,0,13.830,0,42,0,0,0,0,0
e468fd406d5fe199b7a81bfea710d8dd06544384,0,15.496,0,51,0,0,0,0,0
28300ba17102a82578b5a43de1bda75d998ff053,0,16.988,0,68,0,0,0,0,0
48911d8ad6e94637db88f49328d935b1098e30c9,0,17.329,0,71,0,0,0,0,0
868b4ef3b4374f696731d4cdfd5b696de021ca45,0,17.107,0,100,0,0,0,0,0
c5c311adc95449c472eb37c77e4a17e044fb51e7,0,16.424,0,110,0,0,0,0,0
6fee973deae4da8ceb40d64a6de88d9fd331acb6,0,15.674,0,112,0,0,0,0,0
280e3326ca30746a4db66ccde2a7073da3142a07,0,17.218,0,90,0,0,0,0,0
a574b245044e988a2a2324af67987a239b98756f,0,17.177,0,83,0,0,0,0,0
330acc5081e9f7451c95e40df86992151474c08a,0,28.372,0,74,0,0,0,0,0
b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,0,10.438,0,28,0,0,0,0,0
e7a0c412b94c97ff49e4cfac539c243f46821f11,0,112.859,0,124,0,0,0,0,0
de938fd4c6987511b1edf6c076507a7ce972d063,0,17.877,0,65,0,0,0,0,0
bcb9da8213a12e7f6043e072bdc1902b274a2025,0,106.389,0,19,0,0,0,0,0
65d321b58adbf6a9f07d98fd0141883a33de740f,0,16.929,0,23,0,0,0,0,0
7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,160,68.834,0,65,0,0,6,0,0
sum,320,620.616,0,1336,0,0,11,0,0
arith_mean,160.00,31.03,0,70.32,0,0,5.50,0,0
geo_mean,160.00,22.36,0,62.31,0,0,5.48,0,0
