SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fafafb09,160,71.436,290,290,0,15.559,2,0,0
65b79fac,0,13.525,290,0,0,14.863,0,0,0
dcd356a7,160,81.617,331,237,0,15.233,2,0,0
1718ec43,0,21.689,319,0,0,15.091,0,0,0
1794f37d,0,28.511,319,237,0,15.155,0,0,0
6bac4efe,160,91.227,341,270,0,15.854,3,0,0
49df0b0c,160,138.364,693,569,0,24.809,3,0,0
35fde0e6,160,145.748,608,584,0,24.563,3,0,0
00ecca08,160,111.447,633,541,0,20.510,2,0,0
1c6d2fc1,0,18.559,554,3,0,20.313,0,0,0
sum,960,722.123,4378,2731,0,181.950,15,0,0
arith_mean,160.00,72.21,437.80,341.38,0,18.19,2.50,0,0
geo_mean,160.00,53.31,412.53,198.10,0,17.83,2.45,0,0
