SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9922f9e9c2dbcf235cd60dbcc858b6bb09e161d4,0,8.349,0,0,0,2.965,2,0,0
9935c60ac67a3353a565ad6b2241ffaf051421a8,0,8.483,0,0,0,2.197,2,0,0
6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,0,16.700,0,0,0,2.248,1,0,0
11f61545596e9b642176c65a4418b81dac1a0a28,0,8.431,0,0,0,2.327,3,0,0
0e1b4b92c63836fe9224e1a54d60aeed0619adf2,0,8.581,0,0,0,2.383,3,0,0
8452318ec4a4cd88882dafe38cdde2a572ab5971,0,9.444,0,0,0,2.342,3,0,0
47def364f62597cb278375626b708f324ca68034,0,5.801,0,0,0,2.344,3,0,0
9323fe0c960896b2869346ab984d6db93643c65f,0,8.691,0,0,0,2.376,3,0,0
sum,0,74.480,0,0,0,19.182,20,0,0
arith_mean,0,9.31,0,0,0,2.40,2.50,0,0
geo_mean,0,8.94,0,0,0,2.39,2.36,0,0
