SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c6d5faf38703f9930b754483aafc7d96670efd65,160,19.792,90,90,0,5.540,0,0,0
326c3996fed38a2945c441b67b908755fefb330e,160,16.484,94,13,0,3.500,0,0,0
a4a836590882416c5f9d6d584e561a91aeb3261c,21,9.768,97,14,0,3.255,2,0,0
592263bb36a87e9b299185ccbc6ef6cab5fe9ad6,21,7.432,99,14,0,3.249,3,0,0
279b074c230a4d38041a9f40726739b0100e67fb,21,8.547,99,12,0,3.244,2,0,0
e87be91b7284e0c95fb987b4626ada8fb2bf3884,21,7.439,92,10,0,3.161,2,0,0
a7997642e89f63ea994271d7f163d186bd19ee98,160,18.604,97,14,0,3.138,2,0,0
507e6b54112d96df593652c6ab07625415a7be58,38,7.425,104,14,0,3.582,0,0,0
424160bb1c2cd5c9594142c5b13c5770081a8da9,1,6.612,97,1,0,3.929,0,0,0
134926fe66ac8df811df849bba452676292be60d,160,23.020,115,85,0,3.928,2,0,0
c99dbb219136ea9ed30dec718985278cbaeea404,160,39.810,139,43,0,4.786,5,0,0
87e483f5a462f37fc8079dd5c89222599c3fb0e6,160,39.311,139,40,0,4.589,6,0,0
a5e4956d0c5734e60abb254c920efe64fc12fb01,160,41.479,159,27,0,3.659,5,0,0
4521b49743f083a9a60e9f8e1c78a5de3884a5e7,41,11.566,53,26,0,4.149,0,0,0
sum,1284,257.289,1474,403,0,53.709,29,0,0
arith_mean,91.71,18.38,105.29,28.79,-nan,3.84,3.22,-nan,-nan
geo_mean,51.04,14.78,102.20,18.51,-nan,3.78,2.90,-nan,-nan
